,text,date_published
3,5 48 never stay says like means,2021-03-08
8,jaemin knows damn charming hate,2021-03-04
10,almost 2 minutes realize jaehyun jeno hmm hahaha anyways im new nctzen hm,2021-03-03
12,fact jae siblings attractive,2021-03-01
13,useless couch,2021-03-01
14,look like married couple,2021-03-01
16,yall admit jaemin lookd like smoking weed hot tho,2021-02-28
17,honestly smoke getting drunk watching,2021-02-26
21,jaemin smile literally lights whole room,2021-02-23
24,miss moment,2021-02-21
25,teil cute,2021-02-21
26,2 34 love haechan giggle jaemin iconic u serious,2021-02-21
27,jaejaez partner watches like come u sit close jaemin jaehyun u sit 5 feet away,2021-02-18
28,whenever see jaejaez together think ones siblings yet interact perfectly even names jaejaez like destiny meet eo like god said since u hv siblings u find someone later life hv siblings either name u,2021-02-18
34,favorite ep sun moon,2021-02-16
37,aigooo favourites one frame know handled episode haha,2021-02-14
38,watched show feel like jae jae drunk lmaoooo,2021-02-14
39,jaehyun jaemin together honestly much attractiveness look one frame,2021-02-14
40,leave heachan always kill,2021-02-14
46,months later still wondering line two cross haahhaha,2021-02-11
52,wow funny part jaemin pointless show,2021-02-08
55,unbothered duo,2021-02-07
57,hair looks like vanilla strawberry ice cream,2021-02-07
58,jaehyun jaemin best combination,2021-02-07
59,sm please give us jaejae content,2021-02-06
60,jaemin handsome one sweetest person among member tho,2021-02-04
61,jaehyun jaemin father son duo lol remember jaemin trying kiss jaehyun,2021-02-03
62,jaehyun radiates wise father energy,2021-02-02
64,jaehyun jaemin really looking like couple,2021-01-31
66,guests much visual one heart game,2021-01-29
67,instagram dm gw 12th,2021-01-29
68,jaemin beauty literally another level,2021-01-27
69,one literally one want focus jaehyun haechan taeil jaemin literally moon taeil nah today,2021-01-27
71,honest first time,2021-01-24
72,jaejae two bias handsome,2021-01-24
73,alternate title american coffee boys,2021-01-22
74,jaemin basically jaehyun lap sending,2021-01-20
75,1 08 haechan shaking hands jaehyun tricking jaemin cant jaemin face love friendship,2021-01-20
76,ep nct actors dear coming,2021-01-20
77,haechan asking jaehyun like oldest member suddenly changes younger lmao,2021-01-19
80,im ngl first episode ive paid attention understood,2021-01-19
86,seeing jeno inner doberman going wild mess interview havoc,2021-01-16
87,introverts,2021-01-15
89,nct high time line,2021-01-14
92,jeno like video,2021-01-13
93,jeno glaring jaehyun arm wrapped around jaemin,2021-01-13
94,way everyone gets confused leaving end funny,2021-01-12
97,choked jaehyun said americano eight extra shots name,2021-01-11
99,bet hosts show neo would boring af,2021-01-11
100,hc would two describe group czns expensive pcs line,2021-01-10
104,handsome unbothered kings,2021-01-09
105,jaejae really golden visual 3,2021-01-09
108,jaemin jaehyun looks like married couple love ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021-01-06
110,real crocodile_,2021-01-06
116,visuals omggggg,2021-01-03
117,jaehyun sitting sofa jaemin putting arms jaemins shoulder like jaemin wife jjaehyun loves wife alot,2021-01-02
120,isnt overpriced pcs duo,2020-12-30
121,know jaejaez everything jaemin gave backhug jaehyun hyung new fav 100,2020-12-30
122,jaes bias biaswrecker,2020-12-28
123,jaemin really pointless show watched every eps yes cute,2020-12-27
127,nct members pretty,2020-12-23
128,jaemin goes home jeno well well well looks back jaemin n n nno explain orange couch smirks,2020-12-23
129,wkwkwkk love confused,2020-12-22
131,different jaejae z jaehyun laughing like daddy jaemin laughing like baby t_t,2020-12-21
132,agree show pointless funny tho pls make sun moon eps,2020-12-21
135,jaemin smile sooo attractive teeth whiter white,2020-12-20
