video_id,text,author,like_count,date_published,date_updated
dv9ydZstIYg,I came back to confirm that this is still one of best things on earth,Deejourneyz _,0,2021-03-09T19:44:05Z,2021-03-09T19:44:05Z
dv9ydZstIYg,Mark invented the word: Bbangbbagi  xD,Gaby Tornay Crespo,0,2021-03-09T03:20:07Z,2021-03-09T03:20:07Z
dv9ydZstIYg,"Moon Taeil made this interview so funny xD.
I love his English very funny.

Let's get it introduce yourself",Gaby Tornay Crespo,0,2021-03-09T02:59:15Z,2021-03-09T02:59:15Z
dv9ydZstIYg,"Johnny : (speaks english)
Taeil : ""we're always thankful and we love you"" 😂😂😂",mY dAd kNeW i likE BeaNs,1,2021-03-08T12:09:48Z,2021-03-08T12:09:48Z
dv9ydZstIYg,"1:18, it sounds like me when i ""try "" to speak korean",YOSHI YOSHI,1,2021-03-08T05:26:00Z,2021-03-08T05:26:00Z
dv9ydZstIYg,Miss this moment :),Full Sun,2,2021-03-07T08:15:39Z,2021-03-07T08:15:39Z
dv9ydZstIYg,Ta tat ta ta ta ta ta,Bsjsj Nssnbs,1,2021-03-06T19:18:26Z,2021-03-06T19:18:26Z
dv9ydZstIYg,국수먹기 머야ㅋㅋ큐ㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,에이,0,2021-03-06T16:32:59Z,2021-03-06T16:32:59Z
dv9ydZstIYg,4:45 랑 니히,웽씨리인더하우스,0,2021-03-06T14:39:09Z,2021-03-06T14:39:19Z
dv9ydZstIYg,"Mic banderous?????? Lmao 😂 
It’s so fun",Jyee295,0,2021-03-06T10:21:55Z,2021-03-06T10:21:55Z
dv9ydZstIYg,this is the funniest episode not gonna lie 😂,yume,1,2021-03-05T19:40:20Z,2021-03-05T19:40:20Z
dv9ydZstIYg,0:40 Ten. LOL,Trần Thị Mỹ Linh,0,2021-03-04T02:08:29Z,2021-03-04T02:08:29Z
dv9ydZstIYg,Taeil speaking Korean but with an American accent will always be funny 😭,Amber,0,2021-03-03T21:36:02Z,2021-03-03T21:36:02Z
dv9ydZstIYg,Im tired of lauging help 😂😂😂🤣😂😂😂,mynn,0,2021-03-03T18:06:45Z,2021-03-03T18:06:45Z
dv9ydZstIYg,Foreign swaggers? Where is Lucas ? And Jaehyun that lived in America for 4 years that's why he should be there man,Bruna Alexandra,1,2021-03-03T16:12:08Z,2021-03-03T16:12:08Z
dv9ydZstIYg,They basically invite mark in the most episode because he fit to any combination,Nurfarah Izzati,1,2021-03-02T15:21:09Z,2021-03-02T15:21:09Z
dv9ydZstIYg,"Are we going to ignore how Ten beatboxed like what the? He is so talented, so are the rest of the members but dang is Ten good.",Meraiah Paily,0,2021-02-28T19:49:21Z,2021-02-28T19:49:21Z
dv9ydZstIYg,God.. i miss ot23 moments and nct daily :):(,Rasika Priyanthi,2,2021-02-28T17:27:51Z,2021-02-28T17:27:51Z
dv9ydZstIYg,Kalo lagi gak mood nonton ini mood langsung naik wkwk,Intan Safitri,0,2021-02-28T16:38:04Z,2021-02-28T16:38:04Z
dv9ydZstIYg,I don't need subtitles for this tho it's naturally funny lol,Khush MXyz,0,2021-02-28T08:20:10Z,2021-02-28T08:20:10Z
dv9ydZstIYg,아 문태일 개웃겨,도영아전화받아,1,2021-02-27T09:50:58Z,2021-02-27T09:50:58Z
dv9ydZstIYg,The swaggie Mark Lee 💚,Pradita Ratnaningtyas,0,2021-02-27T00:49:55Z,2021-02-27T00:49:55Z
dv9ydZstIYg,Taeil such a mood🤣💚,Ria Rahayu,1,2021-02-26T16:31:12Z,2021-02-26T16:31:12Z
dv9ydZstIYg,PLEASE THEY ARE SO FUNNY WITHOUT TRYING,only roses,0,2021-02-25T16:24:52Z,2021-02-25T16:24:52Z
dv9ydZstIYg,lmao theyre so cute together,Wina Lautner,0,2021-02-25T15:12:35Z,2021-02-25T15:12:35Z
dv9ydZstIYg,take a reLaS bROs,fell in love in october :0,1,2021-02-24T12:08:56Z,2021-02-24T12:08:56Z
dv9ydZstIYg,해찬씨도 외국어 섬에 버려지셨군요...도영씨는 잘 지내시나요?,텐 할미폰반에서몇등하니 폰쿨,1,2021-02-24T08:12:20Z,2021-02-24T08:12:20Z
dv9ydZstIYg,Sorry i just came back for ten's house rap. Byee,Amanda Claire,1,2021-02-24T05:20:23Z,2021-02-24T05:20:23Z
dv9ydZstIYg,Johnny is just a whole ass mood!,Felix's_Freckles00,0,2021-02-23T20:47:28Z,2021-02-23T20:47:28Z
dv9ydZstIYg,"Haechan, Johnny and Taeil have a really compatible sense of humor, like they go off and match each other's energy",Esha Dash,0,2021-02-23T14:32:02Z,2021-02-23T14:32:02Z
dv9ydZstIYg,"GAKUAT GUE, TONTON SETIAP HARI PLIS HAHAHAHAH",revalia bagus,0,2021-02-22T12:05:36Z,2021-02-22T12:05:36Z
dv9ydZstIYg,"Mark: [talking in korean]
Haechan and taeil: ok, understood.
Johnny: (I'm about to end this man's whole career) [suddenly talking in english]
Haechan and taeil: error 404 not found.",Windasari Dwiastuti,0,2021-02-22T11:32:02Z,2021-02-22T11:34:44Z
dv9ydZstIYg,So no one is talking about johnten duet with Johnny barely rapping and Ten's beat box,Elle Lee,1,2021-02-22T06:20:10Z,2021-02-22T06:20:10Z
dv9ydZstIYg,"mark : Im from canada
ten : Im from thailand

yangyang : Im from wayv 

....................................................................ok",milla stk,1,2021-02-21T18:02:11Z,2021-02-21T18:02:11Z
dv9ydZstIYg,"Omg, they are so funny",Kim HBi,0,2021-02-21T16:52:41Z,2021-02-21T16:52:41Z
dv9ydZstIYg,Jaehyun is ok everyone,HASHIRA BG,0,2021-02-20T09:16:21Z,2021-02-20T09:16:21Z
dv9ydZstIYg,this is the funniest episode,livefortomorrow221,1,2021-02-20T02:57:22Z,2021-02-20T02:57:22Z
dv9ydZstIYg,"아 이편 진심 개웃김 문태일ㅋㅋㅋㅋㅋ 아 ㅋㅋㅋㅋㅋㅋㅋ
1:07 서영호 이렇게 웃을때마다 도라버리겟음 자기 잘생긴거 너무나 잘 아는 표정..",이레몬,0,2021-02-19T14:09:02Z,2021-02-19T14:09:02Z
dv9ydZstIYg,stop this is too funny hahahaha,Nafisah Alia,0,2021-02-19T13:17:38Z,2021-02-19T13:17:38Z
dv9ydZstIYg,Taeil is the funniest member in NCT and he doesn’t even try. I believe in Moon Taeil supremacy 🌙 💚,starlight,1,2021-02-19T09:56:03Z,2021-02-19T09:56:03Z
dv9ydZstIYg,One of the best nct video and tis because of moon taeil and mark's laugh XD,Marie Cat,1,2021-02-19T09:19:47Z,2021-02-19T09:19:47Z
dv9ydZstIYg,진짜 다 귀여워 자기전에 행복하다. 특히 쟌아아아아아 사랑해,쟌아사랑해,0,2021-02-18T15:47:24Z,2021-02-18T15:47:24Z
